	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
TYROBP1	0	0.385391153778909	0.96	0.611	0	Monocytes	TYROBP
IFNGR2	0	0.385040417248535	0.522	0.206	0	Monocytes	IFNGR2
GLA	0	0.382786382082974	0.408	0.136	0	Monocytes	GLA
FCER1G1	0	0.38198028782775	0.931	0.617	0	Monocytes	FCER1G
FAM49A	0	0.3819269561696	0.399	0.107	0	Monocytes	FAM49A
THAP2	0	0.381493680330021	0.313	0.042	0	Monocytes	THAP2
ELL2	0	0.375785860879537	0.506	0.233	0	Monocytes	ELL2
RHOQ	0	0.375014399725466	0.519	0.257	0	Monocytes	RHOQ
ARRB21	0	0.37372532105079	0.646	0.313	0	Monocytes	ARRB2
NAAA	0	0.37154861061604	0.375	0.083	0	Monocytes	NAAA
ITGAX1	0	0.364547905249675	0.491	0.2	0	Monocytes	ITGAX
FPR3	0	0.361293133386873	0.336	0.087	0	Monocytes	FPR3
NDEL1	0	0.361152881812202	0.423	0.179	0	Monocytes	NDEL1
RASSF2	0	0.35949760835169	0.386	0.054	0	Monocytes	RASSF2
ARL5B	0	0.358443202448202	0.373	0.135	0	Monocytes	ARL5B
MTHFD2	0	0.358402286229861	0.462	0.15	0	Monocytes	MTHFD2
ETV3	0	0.356717168871592	0.39	0.136	0	Monocytes	ETV3
P2RY13	0	0.355638438739072	0.312	0.075	0	Monocytes	P2RY13
FYB11	0	0.355150648911658	0.634	0.269	0	Monocytes	FYB1
VMP1	0	0.354695596365848	0.502	0.239	0	Monocytes	VMP1
DSE	0	0.354002517903609	0.407	0.143	0	Monocytes	DSE
USP36	0	0.34893183002861	0.384	0.122	0	Monocytes	USP36
CD84	0	0.348497080301207	0.382	0.122	0	Monocytes	CD84
FGD4	0	0.34760793357758	0.388	0.106	0	Monocytes	FGD4
SNN	0	0.347516972747211	0.344	0.062	0	Monocytes	SNN
PICALM	0	0.344481734950346	0.648	0.369	0	Monocytes	PICALM
ADA21	0	0.3421694945455	0.628	0.317	0	Monocytes	ADA2
SAP30	0	0.3402388038033	0.326	0.067	0	Monocytes	SAP30
TTYH3	0	0.338484771715221	0.367	0.065	0	Monocytes	TTYH3
PAK1	0	0.338314145416636	0.395	0.102	0	Monocytes	PAK1
CCRL21	0	0.33814540638872	0.384	0.126	0	Monocytes	CCRL2
IL10RA	0	0.336580110149291	0.459	0.134	0	Monocytes	IL10RA
JMY	0	0.332808398654739	0.327	0.113	0	Monocytes	JMY
TBXAS1	0	0.330786902480684	0.426	0.114	0	Monocytes	TBXAS1
RNASET2	0	0.328076163856967	0.471	0.185	0	Monocytes	RNASET2
JARID2	0	0.327577909675565	0.342	0.109	0	Monocytes	JARID2
PTEN	0	0.327116290584642	0.5	0.202	0	Monocytes	PTEN
JAML1	0	0.326525101508535	0.481	0.216	0	Monocytes	JAML
KYNU1	0	0.326066342725829	0.422	0.156	0	Monocytes	KYNU
ADGRE2	0	0.322687989288744	0.321	0.052	0	Monocytes	ADGRE2
ATP13A3	0	0.322491356344496	0.35	0.11	0	Monocytes	ATP13A3
WAS	0	0.321591041871908	0.563	0.252	0	Monocytes	WAS
THEMIS21	0	0.321260915710598	0.521	0.236	0	Monocytes	THEMIS2
JOSD1	0	0.320548533499002	0.438	0.166	0	Monocytes	JOSD1
SIGLEC10	0	0.31914581414415	0.263	0.014	0	Monocytes	SIGLEC10
ZNF385A1	0	0.318849572461936	0.428	0.134	0	Monocytes	ZNF385A
ZEB2	0	0.318219067154812	0.547	0.265	0	Monocytes	ZEB2
MEF2C	0	0.316664057312988	0.34	0.062	0	Monocytes	MEF2C
CD302	0	0.316103904901846	0.437	0.177	0	Monocytes	CD302
ZNF267	0	0.315991082802239	0.371	0.096	0	Monocytes	ZNF267
CHSY1	0	0.314296108926362	0.305	0.086	0	Monocytes	CHSY1
CREB5	0	0.314286906339404	0.302	0.06	0	Monocytes	CREB5
HCK1	0	0.313737950981043	0.521	0.24	0	Monocytes	HCK
GCH1	0	0.311272557780571	0.299	0.1	0	Monocytes	GCH1
RASSF4	0	0.310958428960659	0.333	0.075	0	Monocytes	RASSF4
SLC43A21	0	0.310092344444793	0.425	0.176	0	Monocytes	SLC43A2
SEC14L1	0	0.3076276733585	0.452	0.178	0	Monocytes	SEC14L1
SLAMF8	0	0.302640818019467	0.319	0.093	0	Monocytes	SLAMF8
PLXNC1	0	0.299148907767316	0.305	0.039	0	Monocytes	PLXNC1
IL6R1	0	0.298194433007992	0.357	0.135	0	Monocytes	IL6R
ERN1	0	0.29764315781826	0.435	0.181	0	Monocytes	ERN1
LILRB3	0	0.293646552109155	0.372	0.104	0	Monocytes	LILRB3
PRCP	0	0.292625054245085	0.396	0.12	0	Monocytes	PRCP
IRAK3	0	0.291970601842397	0.357	0.102	0	Monocytes	IRAK3
PREX11	0	0.291847633722024	0.489	0.164	0	Monocytes	PREX1
PSTPIP2	0	0.289532621494005	0.284	0.039	0	Monocytes	PSTPIP2
CIITA	0	0.289299625743097	0.315	0.076	0	Monocytes	CIITA
RASSF3	0	0.282980398392308	0.366	0.128	0	Monocytes	RASSF3
EMILIN21	0	0.282160922176963	0.453	0.183	0	Monocytes	EMILIN2
GAS7	0	0.279624803561099	0.367	0.101	0	Monocytes	GAS7
FGD2	0	0.274929871817079	0.35	0.095	0	Monocytes	FGD2
C3AR1	0	0.274420649451697	0.281	0.079	0	Monocytes	C3AR1
TNFSF13B1	0	0.273179083935609	0.361	0.124	0	Monocytes	TNFSF13B
NRARP	0	0.27276058624343	0.253	0.057	0	Monocytes	NRARP
EIF2AK3	0	0.266722857426977	0.305	0.099	0	Monocytes	EIF2AK3
CSF2RA	0	0.265821452173551	0.29	0.05	0	Monocytes	CSF2RA
TNFRSF10B	0	0.261845276981467	0.389	0.154	0	Monocytes	TNFRSF10B
NFKBIE	0	0.257630598668949	0.343	0.116	0	Monocytes	NFKBIE
SRGAP2	0	0.257442639355096	0.319	0.065	0	Monocytes	SRGAP2
PLEKHO1	0	0.257278173457787	0.286	0.054	0	Monocytes	PLEKHO1
SLC8A1	0	0.256397943639536	0.301	0.07	0	Monocytes	SLC8A1
BCL2L11	0	0.254968841242861	0.349	0.13	0	Monocytes	BCL2L11
CSGALNACT2	0	0.251161364981494	0.349	0.129	0	Monocytes	CSGALNACT2
HLA-DQA21	1.32906444763285e-307	0.562491309732246	0.463	0.201	3.24570828756418e-303	Monocytes	HLA-DQA2
CEBPB1	3.57180325172252e-304	0.459784755258944	0.858	0.722	8.72270072103158e-300	Monocytes	CEBPB
BCL3	6.48992033525957e-304	0.252339056620985	0.322	0.116	1.58490344507374e-299	Monocytes	BCL3
MNDA1	7.20301356351657e-304	0.284283136481648	0.455	0.198	1.75904794234638e-299	Monocytes	MNDA
TNFAIP31	5.68333906183821e-302	0.347858577035557	0.83	0.592	1.38792823229151e-297	Monocytes	TNFAIP3
H3F3A	8.11016592813247e-300	0.417800194531397	0.976	0.961	1.98058362130923e-295	Monocytes	H3F3A
PTGS2	5.21596914870793e-298	0.366762308396052	0.392	0.159	1.27379182580596e-293	Monocytes	PTGS2
QKI	1.00695523578163e-296	0.292048967945913	0.58	0.303	2.45908538130231e-292	Monocytes	QKI
ZFAND5	6.12332094819517e-292	0.58751052962954	0.848	0.735	1.49537620875874e-287	Monocytes	ZFAND5
RASSF5	6.89320127305844e-290	0.410759932494439	0.524	0.273	1.6833886828936e-285	Monocytes	RASSF5
B3GNT51	5.9377273091307e-289	0.391962732793566	0.463	0.22	1.45005238616281e-284	Monocytes	B3GNT5
CTSZ1	9.32286571012395e-289	0.369524440237916	0.663	0.363	2.27673703506937e-284	Monocytes	CTSZ
TLR41	3.72349435123554e-286	0.301611666418711	0.356	0.144	9.09314555515232e-282	Monocytes	TLR4
PLSCR11	2.18021633899742e-285	0.322318130486085	0.508	0.259	5.32430632146559e-281	Monocytes	PLSCR1
HIF1A	2.64764660817581e-284	0.271563914781251	0.386	0.161	6.46581778182615e-280	Monocytes	HIF1A
NFIL3	9.22028121947253e-283	0.318130707493555	0.429	0.195	2.25168487660739e-278	Monocytes	NFIL3
FNIP2	1.08134089892654e-282	0.293491001290356	0.361	0.146	2.64074260926851e-278	Monocytes	FNIP2
DUSP5	2.56206006447023e-278	0.453770619610462	0.523	0.274	6.25680688344274e-274	Monocytes	DUSP5
RNF1301	1.71947690709538e-277	0.30873213126931	0.648	0.375	4.19913455481762e-273	Monocytes	RNF130
UBC1	1.7879042725736e-277	0.382120734517992	0.982	0.948	4.366241024052e-273	Monocytes	UBC
IER5	4.97100103910097e-275	0.498650678083378	0.813	0.634	1.21396816375885e-270	Monocytes	IER5
CD481	1.09444434647488e-270	0.321333024309924	0.404	0.174	2.6727425385263e-266	Monocytes	CD48
CCL41	6.00929202883669e-270	0.757304684997769	0.526	0.276	1.46752920636221e-265	Monocytes	CCL4
OXSR1	3.21908497116588e-269	0.25630393872122	0.343	0.138	7.86132740808419e-265	Monocytes	OXSR1
CYTIP1	2.58318850955353e-268	0.30770466872211	0.438	0.199	6.30840465918069e-264	Monocytes	CYTIP
JMJD1C	3.66070116364839e-268	0.331726426949868	0.48	0.242	8.93979831174574e-264	Monocytes	JMJD1C
PLXDC21	1.7775646696877e-267	0.268292039030512	0.473	0.225	4.34099067984432e-263	Monocytes	PLXDC2
SLC31A21	1.97188736005801e-266	0.263624873806212	0.445	0.207	4.81554612199768e-262	Monocytes	SLC31A2
UBE2D1	1.89324519233821e-263	0.297619839424704	0.411	0.188	4.62349408420914e-259	Monocytes	UBE2D1
WTAP	3.85892869627371e-261	0.40190112074079	0.585	0.337	9.42388976917003e-257	Monocytes	WTAP
CLEC2B	1.5124424852577e-257	0.264373588802963	0.419	0.191	3.69353579324783e-253	Monocytes	CLEC2B
DDX21	3.28204285360044e-257	0.341075227934407	0.65	0.408	8.01507685277764e-253	Monocytes	DDX21
ATP6V1B21	2.4932299990736e-255	0.338968807346805	0.58	0.321	6.08871698073764e-251	Monocytes	ATP6V1B2
OLR11	4.88248359160292e-255	0.620358137269579	0.633	0.399	1.19235131790535e-250	Monocytes	OLR1
VIM1	1.61950979926468e-251	0.386472717729228	0.984	0.837	3.95500488078428e-247	Monocytes	VIM
PNPLA8	1.20995896927018e-241	0.272087855837831	0.408	0.193	2.9548407988547e-237	Monocytes	PNPLA8
DUSP1	1.64115231383897e-241	0.354944971001083	0.942	0.881	4.00785806562615e-237	Monocytes	DUSP1
TRIB11	1.21106575763321e-240	0.302713986048373	0.494	0.253	2.95754368671605e-236	Monocytes	TRIB1
RNF19B	2.91768611902337e-240	0.293648927753274	0.423	0.204	7.12528127126697e-236	Monocytes	RNF19B
BTG11	5.6592773342462e-238	0.407273813838469	0.954	0.89	1.38205211779626e-233	Monocytes	BTG1
NFKBIA1	1.07720082895732e-236	0.481955424974639	0.96	0.9	2.63063214439668e-232	Monocytes	NFKBIA
TES	2.56572614420587e-235	0.292467733717431	0.474	0.243	6.26575981676515e-231	Monocytes	TES
RHOG1	1.72490675164226e-233	0.264888272731783	0.561	0.311	4.21239477818557e-229	Monocytes	RHOG
ETF1	3.1331917297792e-233	0.271914357195999	0.539	0.302	7.65156752329379e-229	Monocytes	ETF1
TNFAIP8	1.10063712309192e-232	0.28675272182998	0.307	0.126	2.68786591830277e-228	Monocytes	TNFAIP8
H2AFY1	1.8382105616704e-229	0.30386528057879	0.762	0.549	4.48909401265529e-225	Monocytes	H2AFY
CCDC88A1	1.21886469848796e-228	0.274383593707507	0.573	0.307	2.97658948017745e-224	Monocytes	CCDC88A
WASF2	2.5381517387314e-227	0.27122673000007	0.586	0.343	6.19842036115595e-223	Monocytes	WASF2
THBS1	4.23198619395451e-224	1.26635010522661	0.348	0.178	1.03349334842563e-219	Monocytes	THBS1
MAT2A	5.83604434179545e-224	0.267508833980621	0.392	0.188	1.42522038870987e-219	Monocytes	MAT2A
ARL4C1	1.17573795379203e-222	0.3772186377926	0.495	0.247	2.87126965695552e-218	Monocytes	ARL4C
BAG3	6.15205161933744e-222	0.356876793729485	0.651	0.413	1.5023925259584e-217	Monocytes	BAG3
ACSL3	2.91865077684974e-221	0.295752319629883	0.378	0.181	7.12763706214474e-217	Monocytes	ACSL3
IFNGR1	6.61914673456479e-218	0.257980930069422	0.524	0.293	1.61646182404807e-213	Monocytes	IFNGR1
AREG1	9.88406649874805e-216	0.622532690471896	0.453	0.247	2.41378787965926e-211	Monocytes	AREG
GNAI21	3.25447918687248e-215	0.276282714170991	0.838	0.627	7.94776362226128e-211	Monocytes	GNAI2
EVI2B1	4.94450075517152e-215	0.280464236154114	0.544	0.306	1.20749652942044e-210	Monocytes	EVI2B
TPP11	3.97711120620669e-214	0.262173137176384	0.758	0.505	9.71250327667736e-210	Monocytes	TPP1
EIF4A3	2.47533278539611e-213	0.422527003108749	0.768	0.588	6.04501019521584e-209	Monocytes	EIF4A3
LSP1	1.52004938123817e-212	0.26874280747838	0.481	0.255	3.71211259392173e-208	Monocytes	LSP1
NR4A1	2.42339264946953e-212	0.390829384039972	0.847	0.701	5.91816718926953e-208	Monocytes	NR4A1
SLC25A6	2.42656411261861e-212	0.31915005008539	0.786	0.639	5.9259122194259e-208	Monocytes	SLC25A6
PRNP	7.56465495361257e-212	0.296303000630223	0.495	0.275	1.84736438622173e-207	Monocytes	PRNP
GK	2.86025931355112e-211	0.250140400431012	0.327	0.146	6.9850392696232e-207	Monocytes	GK
ROCK1	5.89844008956397e-211	0.263736187860493	0.59	0.352	1.44045805427242e-206	Monocytes	ROCK1
CXCL32	3.5726564256672e-210	0.822087329588993	0.488	0.296	8.72478425712186e-206	Monocytes	CXCL3
BNIP3L	6.61793224003956e-210	0.404167811758916	0.42	0.221	1.61616523234006e-205	Monocytes	BNIP3L
AHR	4.17429753716772e-208	0.298974491412628	0.523	0.298	1.01940520155173e-203	Monocytes	AHR
RBPJ	1.09999401601709e-207	0.289709312976563	0.5	0.284	2.68629538651534e-203	Monocytes	RBPJ
HSPD11	2.61644723863374e-205	0.367003796350927	0.794	0.651	6.38962580146746e-201	Monocytes	HSPD1
LITAF1	2.33152992092359e-204	0.355739783047774	0.857	0.705	5.6938292198875e-200	Monocytes	LITAF
LGALS11	5.81369283409792e-200	0.256809173088992	0.572	0.325	1.41976192701505e-195	Monocytes	LGALS1
CXCL21	6.9903633593514e-199	0.381780488263432	0.647	0.448	1.70711663598721e-194	Monocytes	CXCL2
GAPDH	4.62251867336592e-198	0.327089357199869	0.758	0.594	1.12886528522269e-193	Monocytes	GAPDH
RPS161	7.32079097047811e-198	0.250359534922665	0.984	0.973	1.78781036290046e-193	Monocytes	RPS16
FOXO3	1.22419195971533e-193	0.252968497421558	0.464	0.251	2.98959918482082e-189	Monocytes	FOXO3
PXDC1	1.39313327229525e-192	0.295353886397532	0.285	0.124	3.40217076427222e-188	Monocytes	PXDC1
MIS18BP1	3.65208540231804e-192	0.284205148273655	0.346	0.167	8.91875776100088e-188	Monocytes	MIS18BP1
IRF2BP2	5.89217817149195e-192	0.29651460731481	0.632	0.403	1.43892883126005e-187	Monocytes	IRF2BP2
PMAIP1	2.74122194118472e-191	0.322985059870797	0.528	0.306	6.69433810256721e-187	Monocytes	PMAIP1
UBE2R2	7.61804330556162e-191	0.269232773109546	0.524	0.312	1.8604023556512e-186	Monocytes	UBE2R2
NAP1L1	3.13418462547954e-190	0.440560008113916	0.877	0.808	7.65399227388358e-186	Monocytes	NAP1L1
FCGRT1	7.1877709307857e-188	0.260155510144105	0.672	0.427	1.75532553900718e-183	Monocytes	FCGRT
HERPUD1	7.61256322238033e-187	0.387960180916783	0.742	0.603	1.8590640645375e-182	Monocytes	HERPUD1
LGMN1	3.07636920848062e-176	0.420060241825444	0.315	0.154	7.51280124403053e-172	Monocytes	LGMN
HMOX11	2.90897452766799e-175	0.465065144006955	0.517	0.309	7.104006694018e-171	Monocytes	HMOX1
YBX11	1.27758390281126e-170	0.254937635327245	0.922	0.823	3.11998764905539e-166	Monocytes	YBX1
EHD1	4.19929179936411e-169	0.255240743901938	0.35	0.176	1.02550905032271e-164	Monocytes	EHD1
DDX3Y	2.36325848733761e-165	0.27231520751817	0.627	0.421	5.77131355192717e-161	Monocytes	DDX3Y
HNRNPU	3.95642048086503e-162	0.298774706745538	0.811	0.692	9.66197445632049e-158	Monocytes	HNRNPU
MAFF	2.68475895650055e-161	0.251578815968006	0.434	0.241	6.55644984766998e-157	Monocytes	MAFF
EIF4E	3.49299482212226e-156	0.303522507568791	0.346	0.184	8.53024265510477e-152	Monocytes	EIF4E
BIRC3	9.49085261889882e-156	0.47098254026988	0.391	0.209	2.31776111806128e-151	Monocytes	BIRC3
RNF1491	1.06818612560623e-155	0.259561281367006	0.585	0.383	2.60861733734299e-151	Monocytes	RNF149
MAF1	6.07605806568293e-152	0.288873942138656	0.307	0.151	1.48383414022043e-147	Monocytes	MAF
KLF61	6.53634070524126e-142	0.347391084732508	0.949	0.915	1.59623976362697e-137	Monocytes	KLF6
PPP1R15A	1.33087778815594e-138	0.277958994939913	0.921	0.845	3.25013664645563e-134	Monocytes	PPP1R15A
CD55	2.47195066672985e-131	0.41329396788536	0.644	0.517	6.03675072322098e-127	Monocytes	CD55
PHLDA1	6.12056169936584e-118	0.295219657297611	0.399	0.239	1.49470237260213e-113	Monocytes	PHLDA1
SLC2A31	3.29151753215422e-116	0.301073890059334	0.444	0.28	8.03821496527383e-112	Monocytes	SLC2A3
WARS1	3.91362280294693e-116	0.287253279881131	0.354	0.212	9.5574582470767e-112	Monocytes	WARS
S100A8	3.1984524771951e-115	0.771946186086508	0.306	0.179	7.81094079455816e-111	Monocytes	S100A8
SERPINB1	1.02889118635786e-108	0.286531023308532	0.603	0.468	2.51265516620454e-104	Monocytes	SERPINB1
SLCO2B11	9.07489553600146e-98	0.335946418215044	0.367	0.239	2.21618023884692e-93	Monocytes	SLCO2B1
S100A9	2.89728821871896e-97	0.781819805715597	0.335	0.22	7.07546755893358e-93	Monocytes	S100A9
CCL201	3.76080078279212e-97	0.617162408373152	0.276	0.155	9.18425159165664e-93	Monocytes	CCL20
SQSTM1	1.27139062267805e-89	0.282314958195675	0.782	0.721	3.10486303964206e-85	Monocytes	SQSTM1
MRC11	1.6464515849383e-83	0.313908594795552	0.546	0.405	4.02079941557781e-79	Monocytes	MRC1
HBEGF1	3.11216683586113e-74	0.260505778498344	0.625	0.506	7.60022262985646e-70	Monocytes	HBEGF
ATF3	2.28390871988256e-70	0.326220252389946	0.731	0.657	5.57753348482519e-66	Monocytes	ATF3
PDK4	2.63736092474066e-70	0.309750444383381	0.367	0.251	6.44069911430917e-66	Monocytes	PDK4
DUSP61	1.1364103250127e-67	0.250395761153731	0.474	0.342	2.77522765471352e-63	Monocytes	DUSP6
C1QC1	7.48133909692291e-54	0.293040558655947	0.549	0.461	1.82701782085954e-49	Monocytes	C1QC
DAB21	8.29663152538617e-45	0.262500836721958	0.383	0.298	2.02612038481456e-40	Monocytes	DAB2
MT2A	7.03350627101434e-43	0.411940019618621	0.487	0.407	1.71765256644441e-38	Monocytes	MT2A
LMNA	8.66885475062573e-22	0.32116662406804	0.583	0.63	2.11702101865031e-17	Monocytes	LMNA
SELENOP1	5.50671559953466e-09	0.851365068289863	0.262	0.258	0.000134479501656236	Monocytes	SELENOP
TPPP3	0	2.42276493500958	0.915	0.113	0	Ciliated cells	TPPP3
TSPAN1	0	2.23576299933144	0.89	0.045	0	Ciliated cells	TSPAN1
CAPS	0	2.09168368662228	0.895	0.032	0	Ciliated cells	CAPS
C9orf24	0	1.91523814530195	0.888	0.021	0	Ciliated cells	C9orf24
RSPH1	0	1.88019772000625	0.889	0.021	0	Ciliated cells	RSPH1
PIFO	0	1.75683411872562	0.873	0.028	0	Ciliated cells	PIFO
C1orf194	0	1.7314791153617	0.87	0.018	0	Ciliated cells	C1orf194
C20orf85	0	1.71911800425519	0.855	0.017	0	Ciliated cells	C20orf85
FOXJ1	0	1.67006228039987	0.853	0.041	0	Ciliated cells	FOXJ1
PRDX51	0	1.56634101049389	0.946	0.399	0	Ciliated cells	PRDX5
C2orf40	0	1.53520605351621	0.754	0.022	0	Ciliated cells	C2orf40
MS4A8	0	1.53366721686409	0.844	0.021	0	Ciliated cells	MS4A8
CCDC170	0	1.50064668876527	0.841	0.047	0	Ciliated cells	CCDC170
LRRIQ1	0	1.49064720859312	0.829	0.016	0	Ciliated cells	LRRIQ1
SNTN	0	1.47530268971769	0.828	0.014	0	Ciliated cells	SNTN
AC007906.2	0	1.45382277204954	0.801	0.017	0	Ciliated cells	AC007906.2
CETN2	0	1.44593204764632	0.855	0.08	0	Ciliated cells	CETN2
CD24	0	1.40545843714982	0.634	0.027	0	Ciliated cells	CD24
SLC44A4	0	1.38903044882091	0.823	0.046	0	Ciliated cells	SLC44A4
ALDH3B1	0	1.38637352914738	0.87	0.173	0	Ciliated cells	ALDH3B1
CLDN41	0	1.3823250119683	0.858	0.181	0	Ciliated cells	CLDN4
FTO	0	1.34452240755525	0.74	0.093	0	Ciliated cells	FTO
ALDH1A1	0	1.3384097224686	0.885	0.277	0	Ciliated cells	ALDH1A1
CDHR3	0	1.32268361954711	0.808	0.022	0	Ciliated cells	CDHR3
ELF31	0	1.28715107813602	0.834	0.179	0	Ciliated cells	ELF3
FAM216B	0	1.28486344816885	0.787	0.011	0	Ciliated cells	FAM216B
C11orf88	0	1.27294784914007	0.781	0.013	0	Ciliated cells	C11orf88
METTL7A	0	1.26159029436124	0.857	0.254	0	Ciliated cells	METTL7A
CCDC173	0	1.26082939337313	0.757	0.023	0	Ciliated cells	CCDC173
LDLRAD1	0	1.24735527541254	0.755	0.011	0	Ciliated cells	LDLRAD1
DNAAF1	0	1.24694708712411	0.768	0.03	0	Ciliated cells	DNAAF1
EFCAB1	0	1.24080223123706	0.802	0.014	0	Ciliated cells	EFCAB1
SPATA18	0	1.21034029818286	0.786	0.022	0	Ciliated cells	SPATA18
KIF21A	0	1.18519176353993	0.773	0.06	0	Ciliated cells	KIF21A
GSTA1	0	1.18279856100897	0.557	0.023	0	Ciliated cells	GSTA1
PSENEN	0	1.17039789514918	0.823	0.145	0	Ciliated cells	PSENEN
IFT57	0	1.15791160166337	0.814	0.13	0	Ciliated cells	IFT57
CCDC114	0	1.15775682718539	0.798	0.018	0	Ciliated cells	CCDC114
DNAH5	0	1.15719194518153	0.731	0.015	0	Ciliated cells	DNAH5
GSTP11	0	1.14816138945687	0.976	0.627	0	Ciliated cells	GSTP1
CFAP43	0	1.14765873810268	0.773	0.014	0	Ciliated cells	CFAP43
GDF15	0	1.145578586128	0.475	0.098	0	Ciliated cells	GDF15
CDS1	0	1.14134630581177	0.766	0.07	0	Ciliated cells	CDS1
CKB1	0	1.13434946866169	0.797	0.113	0	Ciliated cells	CKB
AKAP9	0	1.12878411780331	0.853	0.338	0	Ciliated cells	AKAP9
AGR21	0	1.12444006698633	0.769	0.121	0	Ciliated cells	AGR2
ERICH3	0	1.11081466426231	0.731	0.011	0	Ciliated cells	ERICH3
CCDC146	0	1.10415828785357	0.759	0.031	0	Ciliated cells	CCDC146
SPAG6	0	1.09988536443384	0.754	0.012	0	Ciliated cells	SPAG6
CYP4B1	0	1.09838067851766	0.692	0.105	0	Ciliated cells	CYP4B1
PERP	0	1.08968413780957	0.786	0.13	0	Ciliated cells	PERP
C5orf49	0	1.08667645149612	0.759	0.018	0	Ciliated cells	C5orf49
TEKT1	0	1.08530117277052	0.763	0.011	0	Ciliated cells	TEKT1
ZMYND10	0	1.08410593610097	0.767	0.016	0	Ciliated cells	ZMYND10
WDR54	0	1.083099491255	0.768	0.038	0	Ciliated cells	WDR54
CCDC17	0	1.06894904940009	0.749	0.017	0	Ciliated cells	CCDC17
AGR31	0	1.06681799915628	0.761	0.097	0	Ciliated cells	AGR3
IGFBP7	0	1.0601729085519	0.835	0.129	0	Ciliated cells	IGFBP7
ARMC3	0	1.05502503548473	0.737	0.011	0	Ciliated cells	ARMC3
CAPSL	0	1.0477512015943	0.727	0.01	0	Ciliated cells	CAPSL
SRI	0	1.04395816578823	0.847	0.258	0	Ciliated cells	SRI
CHST9	0	1.04201286217589	0.7	0.016	0	Ciliated cells	CHST9
RSPH4A	0	1.02447353366707	0.73	0.011	0	Ciliated cells	RSPH4A
LRRC46	0	1.02020648464139	0.731	0.013	0	Ciliated cells	LRRC46
CEP126	0	1.01999767425121	0.713	0.03	0	Ciliated cells	CEP126
CLIC6	0	1.01407906269855	0.733	0.038	0	Ciliated cells	CLIC6
GSTA2	0	1.00911295935872	0.265	0.012	0	Ciliated cells	GSTA2
PRR29	0	1.00399033379075	0.747	0.013	0	Ciliated cells	PRR29
CDHR4	0	1.00173882203046	0.734	0.012	0	Ciliated cells	CDHR4
TUBA1A	0	0.999405692515343	0.89	0.413	0	Ciliated cells	TUBA1A
CFAP73	0	0.998228962153292	0.737	0.011	0	Ciliated cells	CFAP73
ENKUR	0	0.992312089118391	0.699	0.01	0	Ciliated cells	ENKUR
FAM183A	0	0.991869444859143	0.725	0.011	0	Ciliated cells	FAM183A
LRRC23	0	0.98853604465676	0.743	0.064	0	Ciliated cells	LRRC23
CTXN1	0	0.985137280064807	0.685	0.012	0	Ciliated cells	CTXN1
MNS1	0	0.984922220546188	0.706	0.016	0	Ciliated cells	MNS1
CFAP53	0	0.984891154588719	0.702	0.013	0	Ciliated cells	CFAP53
ATP2A2	0	0.983965987769469	0.841	0.323	0	Ciliated cells	ATP2A2
DYNC2H1	0	0.980616436095686	0.699	0.039	0	Ciliated cells	DYNC2H1
CLU	0	0.980419915220594	0.815	0.203	0	Ciliated cells	CLU
STK33	0	0.97898781284415	0.725	0.02	0	Ciliated cells	STK33
EFHC1	0	0.977762734877506	0.731	0.034	0	Ciliated cells	EFHC1
SAXO2	0	0.976801657236517	0.695	0.012	0	Ciliated cells	SAXO2
CSPP1	0	0.961978183044125	0.739	0.086	0	Ciliated cells	CSPP1
TNFAIP8L1	0	0.955403345454105	0.705	0.04	0	Ciliated cells	TNFAIP8L1
TUBB4B1	0	0.951991502623832	0.906	0.499	0	Ciliated cells	TUBB4B
IGFBP5	0	0.950365230533955	0.718	0.032	0	Ciliated cells	IGFBP5
CTGF	0	0.948460784301671	0.555	0.105	0	Ciliated cells	CTGF
HMGN3	0	0.948347643910004	0.818	0.266	0	Ciliated cells	HMGN3
SPAG17	0	0.945275298833198	0.69	0.011	0	Ciliated cells	SPAG17
MORN2	0	0.945264346102957	0.706	0.033	0	Ciliated cells	MORN2
CD591	0	0.944572018829531	0.884	0.389	0	Ciliated cells	CD59
C12orf75	0	0.943554608185032	0.705	0.071	0	Ciliated cells	C12orf75
CCDC113	0	0.939960401232934	0.681	0.012	0	Ciliated cells	CCDC113
ALOX15	0	0.934929036351937	0.519	0.011	0	Ciliated cells	ALOX15
IK	0	0.934835272168114	0.797	0.219	0	Ciliated cells	IK
RABL2B	0	0.934543033365881	0.752	0.075	0	Ciliated cells	RABL2B
SRGAP3-AS2	0	0.933026554631769	0.607	0.009	0	Ciliated cells	SRGAP3-AS2
TMEM231	0	0.932783337827045	0.71	0.016	0	Ciliated cells	TMEM231
FAM92B	0	0.929450227421616	0.692	0.01	0	Ciliated cells	FAM92B
TACSTD21	0	0.927576920536138	0.764	0.168	0	Ciliated cells	TACSTD2
PTPRF	0	0.925749085971996	0.729	0.097	0	Ciliated cells	PTPRF
C20orf96	0	0.925002514852673	0.696	0.048	0	Ciliated cells	C20orf96
PFN2	0	0.921814515143071	0.697	0.029	0	Ciliated cells	PFN2
C9orf116	0	0.917320688519095	0.694	0.014	0	Ciliated cells	C9orf116
NUCB2	0	0.916916558847753	0.743	0.133	0	Ciliated cells	NUCB2
DNAH12	0	0.916452441538819	0.687	0.013	0	Ciliated cells	DNAH12
